feature,importance
test_temp_k,0.5598018060776535
solution_treatment_temp_k,0.06559335601321149
niobium_wt_pct,0.03778091961395304
product_form_2.0,0.03347326216223138
grains_per_mm2,0.02247558935368335
nickel_wt_pct,0.02192286378295605
titanium_wt_pct,0.021598371006538466
molybdenum_wt_pct,0.021595682296146022
nitrogen_wt_pct,0.019194172581447514
sulphur_wt_pct,0.018290363566860052
chromium_wt_pct,0.016651655907751455
size_of_ingot_3.0,0.01655262791947152
carbon_wt_pct,0.01556517913541068
copper_wt_pct,0.015349962774554768
phosphorus_wt_pct,0.014266703061326708
silicon_wt_pct,0.014131125715414214
solution_treatment_time_s,0.013003413425042035
manganese_wt_pct,0.01031169296556343
type_of_melting_1.0,0.006583391930631531
air_quenched,0.006511464160553665
boron_wt_pct,0.006162757024747695
water_quenched,0.006141246718754721
type_of_melting_2.0,0.0058395484271704665
aluminium_wt_pct,0.005602600378677088
type_of_melting_4.0,0.0050106261847444175
product_form_1.0,0.004829556703846674
product_form_3.0,0.004055342549160258
cobalt_wt_pct,0.003425885639010009
vanadium_wt_pct,0.0017639525347199047
product_form_5.0,0.0010228247216748688
size_of_ingot_6.0,0.000937740903474821
product_form_4.0,0.0007401282334715183
size_of_ingot_4.5,0.000487469344205204
size_of_ingot_3.35,0.0004834029936066802
size_of_ingot_2.9,0.00040351683675490715
size_of_ingot_1.205,0.0003967945547752388
type_of_melting_3.0,0.00032394803782498946
size_of_ingot_4.8,0.00031263282287426626
size_of_ingot_16.0,0.00028844658736269134
size_of_ingot_1.282,0.0002731008531891501
size_of_ingot_0.56,0.0002609322739112328
size_of_ingot_5.7,0.00010445749423601207
size_of_ingot_0.23,9.66601939570712e-05
size_of_ingot_0.9,6.99904004340856e-05
size_of_ingot_0.35,6.354261911270496e-05
size_of_ingot_0.21,5.4900055481808566e-05
size_of_ingot_1.6,4.6934003790418535e-05
size_of_ingot_14.7,4.5811984211681534e-05
size_of_ingot_15.5,4.1840844343866084e-05
size_of_ingot_15.8,3.059074823625091e-05
size_of_ingot_11.2,2.9213881838276395e-05
tantalum_wt_pct,0.0
tin_wt_pct,0.0
zirconium_wt_pct,0.0
tungsten_wt_pct,0.0
lead_wt_pct,0.0
